Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
The Root of All Evil - 2009 Remaster,Dream Theater,Octavarium,Heavy Edge,Playlist,USEE10900726,4J9YgAb9UeLqWWu2fjdUCq
From the Inside,Linkin Park,Meteora (Bonus Edition),Heavy Edge,Playlist,USWB10300471,697M5JB8FDIyRXEXgl1pBZ
Strike Back,We As Human,We As Human,Heavy Edge,Playlist,USAT21300757,1VGoxAxuw65pJW0ATxjFpu
Us All,Silent Season,Us All,Heavy Edge,Playlist,QMBZ91418798,3n0lSJ74szhNrh1PHbIDVK
Prayer Of The Refugee,Rise Against,The Sufferer & The Witness,Heavy Edge,Playlist,USUM70603971,4OSbctVD37ycS0H3rwRm72
These Are The Days,The Exies,A Modern Way of Living With The Truth,Heavy Edge,Playlist,USDPK0715010,1vlrMJfGIw7bcEJM8jppRx
The Coming Storm,Matt Moore,The Coming Storm,Heavy Edge,Playlist,usdy41765131,31PXxAJEOYqriWiFERTmsC
Automatic Sun,The Warning,Keep Me Fed,Heavy Edge,Playlist,USUM72402509,4GxdRrDz8nV2B51wdaQh5k
Well Enough Alone,Chevelle,Vena Sera,Heavy Edge,Playlist,USSM10700080,2mMb3id4Cg7iTwz92wPrTu
Fairy Tale,Saint Asonia,Fairy Tale,Heavy Edge,Playlist,USRC11501487,46H65L5AmIICuISv5KeU2a
Ghost,OCEANS,Ghost,Heavy Edge,Playlist,TCAJU2547026,5ATSiw1po8Zv9R6529xHxb
Monster,Disturbed,The Lost Children,Heavy Edge,Playlist,USRE10501074,3QTQ8cjos16jtCwB1ozPcf
In Apathy,Antimere,One With The Stream,Heavy Edge,Playlist,QZTBF2527465,0xkPIzBr7VR7Xn1Eolporu
We All Bleed,Crossfade,We All Bleed,Heavy Edge,Playlist,USDPK1077208,6MFqEzAn9K99SQMGszR8Rl
Don't Wake Me Up,Smash Into Pieces,The Apocalypse DJ,Heavy Edge,Playlist,SEVWR1401305,1puRmdXuf3dLxauYLRXhVZ
Make Me a Believer,Crossfade,We All Bleed,Heavy Edge,Playlist,USDPK1077210,1IMncpTZnMKtBvd2vjC3Ce
Reach,Memory of a Melody,Things That Make You Scream,Heavy Edge,Playlist,TCABA1160183,5YZ1ggST8pTKLzBUWSIlCP
Monster,Skillet,Awake (Deluxe Edition),Heavy Edge,Playlist,USAT20901851,5XQNN3cHwYRzPv08CHuQNZ
Dreaming,System Of A Down,Hypnotize,Heavy Edge,Playlist,USSM10505332,4uCfGqrF2OHcav71k0bk9D
Chop Suey!,System Of A Down,Toxicity,Heavy Edge,Playlist,USSM10107256,2DlHlPMa4M17kufBvI2lEN
Toss A Coin To Your Witcher,Matthew K. Heafy,Toss A Coin To Your Witcher,Heavy Edge,Playlist,NLA322000264,3Oz3R5UH9ynO4h1dcpEey1
Time of Dying,Three Days Grace,One-X,Heavy Edge,Playlist,USJI10600165,7piw04hPQZ1OHZ9Fq9JOXR
Demon Fighter,Otherwise,Peace at All Costs,Heavy Edge,Playlist,US4E41409304,3OK3bTVoooxU4wDJe3LTmc
Sacrifice,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000561,74uBGZfnN7Ay2zRygHWwJ0
The Deep End,Crossfade,Crossfade,Heavy Edge,Playlist,USSM10400174,0UZhP6BBkksOGmJ3hAABRD
Get Through This,Art Of Dying,Art of Dying,Heavy Edge,Playlist,USCGH0743413,0F8KMhkfi36XfRUUoaD2M0
White Flag,Fall Of Envy,Poetic Rage Special Edition,Heavy Edge,Playlist,TCABE1214155,5XqTgHlJKjXTTNEFpWBG8X
Asylum,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000553,3VZWVvHjzkG60FyVUkTcy5
Pushing Me Away,Linkin Park,Hybrid Theory (Bonus Edition),Heavy Edge,Playlist,USWB10002410,1gAaRSN57UYVRI4eWRyAvP
Save Me,Avenged Sevenfold,Nightmare,Heavy Edge,Playlist,USWB11001441,53jogSv23P6DFcOHcZrDs9
Bullets,Smash Into Pieces,The Apocalypse DJ,Heavy Edge,Playlist,SEVWR1401309,2RPhLbW8WhcQpgWOl7qTJz
Tomorrow Awaits,Daybreak Embrace,Tomorrow Awaits,Heavy Edge,Playlist,ushm91098013,36tjOu6KC3TF7PuXKTm4v9
Perfect Life,Red,Perfect Life,Heavy Edge,Playlist,USA5W1200392,1hczLy2JbKtNRiluQjyeC3
Fade Away,Breaking Benjamin,Dear Agony,Heavy Edge,Playlist,USHR10924585,6PkquTvmXuL0BuHqC0nZEB
Remember,Disturbed,Believe,Heavy Edge,Playlist,USRE10200799,3i8TstjJck3vHAohHEfgCh
Hopeless,Breaking Benjamin,Dear Agony,Heavy Edge,Playlist,USHR10924588,2c2UTSuyPbEmxWyTOMwjON
I'm Alive,Disturbed,Ten Thousand Fists,Heavy Edge,Playlist,USRE10501016,1gFrm3uL7UAtmjaPspYedU
Raised By Wolves,Falling In Reverse,The Drug In Me Is You,Heavy Edge,Playlist,USEP41118001,4vqmSmLC0dbw1UF7mmUDZe
Bury Myself Alive,Downplay,Radiocalypse,Heavy Edge,Playlist,TCABG1272514,2MH0yZZSWuPhqGI0u8iTkH
Phase,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Heavy Edge,Playlist,USHR10220098,131ZjmeI3BWMhYB7OzO6Xc
Into The Nothing,Breaking Benjamin,Dear Agony,Heavy Edge,Playlist,USHR10924593,0slW7U1gWpQ9Dx2vWWp2ga
Close to Heaven,Breaking Benjamin,Dark Before Dawn,Heavy Edge,Playlist,USHR11536296,0zAJqlBcRSvrcCae4TwkBv
Never Again,Breaking Benjamin,Dark Before Dawn,Heavy Edge,Playlist,USHR11536298,07huQEWGQAe7aJaeR08Cag
Blood,Breaking Benjamin,Ember,Heavy Edge,Playlist,USHR11738193,7gQ7DfSSc3b8e4cHtFnDxu
Feed the Wolf,Breaking Benjamin,Ember,Heavy Edge,Playlist,USHR11738186,7rOv6HovIJvYHXCg0cVfTk
Psycho,Breaking Benjamin,Ember,Heavy Edge,Playlist,USHR11738188,7jgat9AswcE13fC2YUuBLG
Torn in Two,Breaking Benjamin,Ember,Heavy Edge,Playlist,USHR11738192,3IiMnjK7S2PlsPVMuAH7rU
Save Yourself,Breaking Benjamin,Ember,Heavy Edge,Playlist,USHR11738194,2q1KVUPMs9unSAKHFAaQFg
