Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Give In To Me,Three Days Grace,Transit Of Venus,Rhythmic Journey,Playlist,USRC11200915,3kUxUw4b766Fk5RNGK0ZCA
Human Race,Three Days Grace,Human,Rhythmic Journey,Playlist,USRC11500210,7q096gH9G0OjuUduheqM4l
Spiders,System Of A Down,System Of A Down,Rhythmic Journey,Playlist,USSM19800755,3njyXewwWLp3B0p6rSMeyw
Stuck In Your Head,I Prevail,Lifelines,Rhythmic Journey,Playlist,US5261622472,6T38YYdc9GkLO07TRI3li2
My Enemy,Smash Into Pieces,Unbreakable,Rhythmic Journey,Playlist,SEVWR1300110,3xaNYHmHs6HUU550v1rj6G
The Last Night,Skillet,Comatose,Rhythmic Journey,Playlist,USAT20619180,37CMjUAU8fL6YqZVTplZqZ
Falling Inside the Black,Skillet,Comatose,Rhythmic Journey,Playlist,USAT20619188,4AVxmpwfXH7p4YyTbg9nS4
Lost in You,Three Days Grace,Life Starts Now,Rhythmic Journey,Playlist,USJI10900543,1uiwlmWedlNpzAxDSRGqdK
Bring Me To Life,Evanescence,Halloween,Rhythmic Journey,Playlist,USWU30200093,2rOGOZkKMpilacZJc0hYuy
Faceless,Red,Until We Have Faces,Rhythmic Journey,Playlist,USA5W1000721,05tn6MGYoFRaXPYQpZmPcc
Breathe Into Me,Red,End Of Silence,Rhythmic Journey,Playlist,USA5W0600044,5BrxQCdse2b424hlurCvGz
Anonymous,Three Days Grace,Transit Of Venus,Rhythmic Journey,Playlist,USRC11200913,1xI7M6PDSXLll1dt9j2snA
Best Is Yet To Come,Red,Until We Have Faces,Rhythmic Journey,Playlist,USA5W1000729,0UXIYE2aflGXmnSZ4nmcMM
Words As Weapons,Seether,Isolate And Medicate,Rhythmic Journey,Playlist,QMFMK1400003,5mkV5wCiPSxzx1r2xEH4vF
Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Rhythmic Journey,Playlist,USWU30700132,4eAwB5pnKFTmsgc3zWoYO0
Country Song,Seether,Holding Onto Strings Better Left To Fray,Rhythmic Journey,Playlist,USWU31000150,2abHKI9Oox4NBEhOh3HMbq
Fine Again,Seether,Disclaimer II,Rhythmic Journey,Playlist,USWU30400066,3d0kFlQbmNvQCukTHU72N9
Hurricane,Theory of a Deadman,The Truth Is... (Special Edition),Rhythmic Journey,Playlist,NLA321191100,6fsHQN6zZT64dapQ2XjI19
Comatose,Skillet,Comatose,Rhythmic Journey,Playlist,USAT20618881,5pRElcsPZrgZXkoON2o5Go
Unbreakable Heart,Three Days Grace,Transit Of Venus,Rhythmic Journey,Playlist,USRC11200921,5lmMoocYsTT0yRgfMSDizZ
Stronger,Smash Into Pieces,The Apocalypse DJ,Rhythmic Journey,Playlist,SEVWR1401302,4fcQ4RiLvOOamO95DPFWv8
Justify,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904646,0ZpNhWrOJcNEFzvuT58vXb
Unbreakable,Smash Into Pieces,Unbreakable,Rhythmic Journey,Playlist,SEVWR1300106,1BX6H2p22fWTsbwIpRNAvx
Hall of Fame,Smash Into Pieces,Evolver,Rhythmic Journey,Playlist,SEVWR1803806,7ijQYYOeFv33ubIQhkLn12
Nothing To Lose But You,Three Days Grace,Outsider,Rhythmic Journey,Playlist,USRC11703667,6BymUYxeWsWDUUMHsJdofB
Explosions,Three Days Grace,EXPLOSIONS,Rhythmic Journey,Playlist,USRC12103939,3h92wnbZ8xgX3j1CaqkT6r
Darkest Part,Red,of Beauty and Rage,Rhythmic Journey,Playlist,USA5W1400329,4Dsxp3FZYCLUxYjQpQo1BP
Let Me Live My Life,Saint Asonia,Saint Asonia (European Edition),Rhythmic Journey,Playlist,USRC11501485,5a2k30gAsiPSgBGyLJthOB
Even Though I Say,Saint Asonia,Saint Asonia (European Edition),Rhythmic Journey,Playlist,USRC11501486,7pNhbKbv7qSrjPjHhWp3JD
Courtesy Call,Thousand Foot Krutch,The End Is Where We Begin,Rhythmic Journey,Playlist,TCABF1202218,0AOmbw8AwDnwXhHC3OhdVB
This August Day,Saint Asonia,Flawed Design,Rhythmic Journey,Playlist,GBUM71904640,7IhHcTCMH4g4aqCjm9FyKQ
Beast,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904642,4Lzz2dgW0nlgr9Q6IZ61dW
The Fallen,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904643,6fTGQ0NJkR8BuxyRbrC22e
Another Fight,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904644,7dIKR5pnPDRhi1dvEzBufp
Left Behind,Saint Asonia,Introvert,Rhythmic Journey,Playlist,GBUM72107469,4zG29q2hE3LdnXSo7CXKYQ
Flawed Design,Saint Asonia,Flawed Design,Rhythmic Journey,Playlist,GBUM71904645,7GMtnL1WWdS31NIlgvuUe4
Say Goodbye,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904648,05LzkjGROvFBXRa1u4h6U0
Weak & Tired,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904650,3s0BGSZi44GexxIu1uphX0
