Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Needles,Seether,Disclaimer II,Catchy But Careful,Playlist,USWU30400068,4jtgjamRAXx8RsD3j4aA3X
Heart of a Champion,Silver End,Conquer the Silence,Everything Green,Playlist,NOGBV1801010,2btR1TEWFPxibWoQeHXCWC
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,Everything Green,Playlist,USQX91300106,5CMjjywI0eZMixPeqNd75R
Lifeline,Bad Wolves,Dear Monsters,Sentimental Zone,Playlist,USDPK2100106,1koxIMwzkdxekBrLkPtGsL
Valhalla,Smash Into Pieces,Disconnect,Everything Green,Playlist,QM6N22250210,4aRSlPq1itHwu9tUMx3Lz6
Heaven,Solence,Brothers,Catchy But Careful,Playlist,QM6MZ1953425,1GxZnEcrRsvk6m7ur6MR4u
One More Night,From the Ash,One More Night,Sentimental Zone,Playlist,QZES72045356,6yOWjWpJT0ml4Z6uN4ANml
Fearless,From the Ash,Fearless,Everything Green,Playlist,QZES92144433,1vzyDUIxBjCTQe3vibNbDT
Welcome to the Black Parade,My Chemical Romance,The Black Parade,Everything Green,Playlist,USRE10602613,5wQnmLuC1W7ATsArWACrgW
Again,Flyleaf,Memento Mori (Expanded),Sentimental Zone,Playlist,USUM70831819,3v2XiE8ztYHOsrjIBN4Xh2
Decode,Paramore,Decode,Sentimental Zone,Playlist,USAT22103220,1ZLtE9tSJdaUiIJ9YoKHQe
End of Us,No Resolve,The Divide,Catchy But Careful,Playlist,CA5KR1939151,2Og90Mz06HQ8Rt3gkF4tTs
Ghost,Saint Asonia,Flawed Design (Deluxe Edition),Catchy But Careful,Playlist,GBUM71904641,3VLihrHhEr1jbRm0pApHs8
Sirens,Saint Asonia,Flawed Design (Deluxe Edition),Everything Green,Playlist,GBUM71904639,0XK1vXG2gGOUY3UMbtRE8O
�ngel,Elefante,Elefante,Banned Bangers,Playlist,MXF140400156,2rYjkYQWpn66nf5Ihk7SHJ
Somos Ajenos,Enjambre,Enjambre Y Los Hu�spedes Del Orbe,Sentimental Zone,Playlist,MXF061200345,1Z6NUe88dVXBDpWiWpSpie
Believe,Staind,The Illusion of Progress,Sentimental Zone,Playlist,USEE10800984,17F9gfZXMGTX3NUFEXXRRX
The Abyss,Three Days Grace,Outsider,Catchy But Careful,Playlist,USRC11703674,4Zvc5Hb6GwnjGgi9pu9YeG
On My Own,Ashes Remain,What I've Become,Everything Green,Playlist,USM2C1100702,6VuztO5yaKP4VjqSkZxpan
Bulletproof,Godsmack,When Legends Rise,Everything Green,Playlist,QMRSZ1703237,4Pp7tPCBM9ywQexWvCz6iH
When We Stand Together,Nickelback,"The Best of Nickelback, Vol. 1",Everything Green,Playlist,NLA321393048,5x0aOJX7M0HMBqL4UYgkus
When I'm Gone,3 Doors Down,Away From The Sun,Sentimental Zone,Playlist,USUR10200759,3WbphvawbMZ8FyqDxYGdSQ
