Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
The Real You,Three Days Grace,Human,Everything Green,Playlist,USRC11500219,54C4TfHY00UYEnhMaYgfqZ
Kids In The Dark,All Time Low,Kids In The Dark,Everything Green,Playlist,USHR21547014,38JRShIGHoKf3gvBNEOdh7
It's Been Awhile,Staind,Break the Cycle,Sentimental Zone,Playlist,USEE10100288,1BExV8JprNJLvLeDE9qdEW
Let Me Be Your Superhero,Smash Into Pieces,Rise and Shine,Banned Bangers,Playlist,SEVWR1600402,4cDHZygn3hStTmnngmNsWo
Let It Die,Three Days Grace,One-X,Sentimental Zone,Playlist,USJI10600157,6NAmbftWAovcMCnJzDCFsU
Last Stand,Adelitas Way,Adelitas Way,Sentimental Zone,Playlist,USVI20900209,30I8vqDp2fDpfyQ91FZOZ5
Kryptonite,3 Doors Down,The Greatest Hits,Everything Green,Playlist,USUM71213124,6mcCraLFnKWPHboTQ4t4F3
I Want to Live,Skillet,Unleashed,Everything Green,Playlist,USAT21601593,4Ahphc0UzRSoMpJRHgnGQK
It Was Always You,Maroon 5,V (Deluxe),Everything Green,Playlist,USUM71410331,3WsUKVmB9x7MeO8PBeQgtK
War,Sum 41,13 Voices,Sentimental Zone,Playlist,USHR21610807,23Vf9hNoBN8AacpUUHbiRy
Broken Heart,Escape the Fate,I Am Human,Sentimental Zone,Playlist,USDPK1700211,0lKNxyT9fCChvnnjthRVkb
Right Now,Fire From The Gods,Right Now,Everything Green,Playlist,USDPK1900046,2G7vzLacnuH93lDeTIW3ur
All Animal,Through Fire,All Animal,Catchy But Careful,Playlist,USYFZ1915401,6V6Kb44JfPVOhI3hBJjGLA
Breathe Again,Pop Evil,Versatile,Everything Green,Playlist,USKO12000098,5KfXH2tHeTqIX9WvJwXTz1
A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,Banned Bangers,Playlist,USWB10704000,5HxiBWZ0bQRlUkdwSv1eNU
Unreal,Soil,Scream: The Essentials,Catchy But Careful,Playlist,QMKEL1700698,66I3MPPb1iMGgKVNTZOGc7
Here And Now,Seether,Holding Onto Strings Better Left To Fray,Sentimental Zone,Playlist,USWU31000144,6fVH4LE9qvlkED9yeimlIo
Be Somebody,Thousand Foot Krutch,The End Is Where We Begin,Everything Green,Playlist,TCABF1202216,33MnSYLvtOrbj5zwfioEiH
Give Me a Reason,Three Days Grace,Transit Of Venus,Catchy But Careful,Playlist,USRC11200917,073B0vPoZJi9KqOOJjII9q
The Ghost of You,My Chemical Romance,May Death Never Stop You,Catchy But Careful,Playlist,USRE11300596,7L3ZztbqdEbKItCMELoMk5
Everything They S4Y,Smash Into Pieces,Everything They S4Y,Everything Green,Playlist,QM4TX2055958,3e9baHwwWiLfptYlqApZLW
Let Me Be Sad,I Prevail,TRAUMA,Sentimental Zone,Playlist,US5261923091,5jmYu7XY4zd3mJfizA8t1K
I Am Machine,Three Days Grace,Human,Sentimental Zone,Playlist,USRC11402105,2UDumaw7osnyjH7RZ2DLpB
Follow You,Bring Me The Horizon,That's The Spirit,Catchy But Careful,Playlist,GBARL1500772,5EXdCRKd7mf5BRk1cgz2L2
Anthem Of The Angels,Breaking Benjamin,Dear Agony,Catchy But Careful,Playlist,USHR10924590,0qmmx55Ei3i75ViWcY6mEp
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),Catchy But Careful,Playlist,USEE11300353,40riOy7x9W7GXjyGp4pjAv
In Ruins,Theory of a Deadman,Savages,Sentimental Zone,Playlist,NLA321400220,2kSiAdjToa5S27SVVkktGC
If Today Was Your Last Day,Nickelback,Dark Horse,Everything Green,Playlist,NLA320887846,4QJLKU75Rg4558f4LbDBRi
Erasing the Gray,Flight Paths,Erasing the Gray,Catchy But Careful,Playlist,TCAEH1952340,3PW1KExr8ZHNCNH3MetYmV
Erase My Scars,Evans Blue,Evans|Blue,Sentimental Zone,Playlist,US9WS1000044,6njppEOeoUxbEx1BAXsF8p
Unstoppable,Red,Gone (Deluxe Edition),Everything Green,Playlist,USA5W1700265,69Tx9JvyHEMRLJxjPyFsuy
Watching Over You,Smash Into Pieces,Watching Over You,Catchy But Careful,Playlist,QMBZ92327984,2Aa40bMIuz3gIrd35mtopM
Overcome,Creed,Full Circle,Sentimental Zone,Playlist,USWU30900233,25TQBBKOrtTfnH6QBM9He1
Blood Moon,Wake Me,Blood Moon,Catchy But Careful,Playlist,uscgj2049885,58WQKPZHIB4AntzOdKFTAz
Already Over,Red,End Of Silence,Sentimental Zone,Playlist,USA5W0600046,3SP1LUtLle97QNFvFFopnG
City of Angels,Arrows to Athens,Exile,Catchy But Careful,Playlist,TCACN1647499,2r9CBT1v1CfuS356cAoL8z
The Noose,A Perfect Circle,Three Sixty (Deluxe Edition),Catchy But Careful,Playlist,USVI20301028,59JflFQe1alcNj7JS5kvHy
