Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Schism,TOOL,Lateralus,Full Volume,Playlist,USVR10100013,55mJleti2WfWEFNFcBduhc
Silicone Lube,Feed Me,Feed Me's Big Adventure,Full Volume,Playlist,GBTDG1000244,0tvsUR0T0EteQXabotDRJo
Bleed,Smash Into Pieces,Ghost Code,Full Volume,Playlist,QM4TW2476061,64kKpAiWj68U3IkBxDAKY8
Hypnotize,System Of A Down,Hypnotize,Full Volume,Playlist,USSM10505330,6oO7WMjD6kEvCITLbVj0mu
Invaders Must Die,The Prodigy,Invaders Must Die,Full Volume,Playlist,GBCEJ0800386,1j6lrR4BzRGKwvAPfrIcbf
The Rush,Shuichi Kobori,Hi-Fi Rush: Original Game Soundtrack,Full Volume,Playlist,QMTH32300003,6bJdrc2kj57R5K4WBJZWXy
Heaven and Hell,Jeremy Blake,Music for Algorithm: Volume 01,Full Volume,Playlist,QZTB62375916,6vO1kDFnryQjKGKcSZJ1SN
Never Let Me Down Again,Depeche Mode,The Singles 86-98,Full Volume,Playlist,GBAJH9800141,3QqONU0GW4byIClquChyf0
Always,Killswitch Engage,Disarm the Descent (Special Edition),Full Volume,Playlist,NLA321392567,0fE5kL2rRlaSQ86OvZG1NX
Already Gone,Crossfade,Falling Away,Full Volume,Playlist,USSM10603446,7uiLbz4HbJBnY3KbswCMPE
Tell Me Why,Three Days Grace,Human,Full Volume,Playlist,USRC11500213,0YFA0boMX3HBAZS1QfHKRR
A View from the Top of the World,Dream Theater,A View From The Top Of The World,Full Volume,Playlist,GBDHC2124907,29C7AhtLFeQY7RjJmyyW0v
I Get It,Chevelle,Vena Sera,Full Volume,Playlist,USSM10700086,3K8hcmiEnCiVFqqHoMMz4q
Sleep Apnea,Chevelle,Sci-Fi Crimes,Full Volume,Playlist,USSM10904096,2CPlXiQmnvuinubDFgAeTU
Hell,Disturbed,The Lost Children,Full Volume,Playlist,USRE10501061,1RIn8LBQzinLEraFtUcpZP
Not Strong Enough,Apocalyptica,7th Symphony,Full Volume,Playlist,DEE861000215,6BD9XMxKnjL6dCJbxXAPUa
Starless,Crossfade,Crossfade,Full Volume,Playlist,USSM10400170,0JPlgRBDGRteFR8G4FeCG5
This Means War,Avenged Sevenfold,Hail to the King,Full Volume,Playlist,USWB11302492,2NImo2MajNai4CLk35wMut
Reaching Out,Smash Into Pieces,The Apocalypse DJ,Full Volume,Playlist,SEVWR1401307,5pX7rp83P3FoUCzxQlnHTF
Killing Me Inside,Crossfade,We All Bleed,Full Volume,Playlist,USDPK1077202,0YSjSMLVMbeyvNvgGpThVg
Open Up Your Eyes,Crossfade,We All Bleed,Full Volume,Playlist,USDPK1077209,4zb1m8VAU5NOvC3j9jYrtf
Jenny,NOTHING MORE,Nothing More,Full Volume,Playlist,USDPK1400165,2CASGo9Wmd6Dxrq3ygnRjf
Hanging Upside Down,Lime Cordiale,Hanging Upside Down,Full Volume,Playlist,AU5E31500001,37Kj037Is4AcOvj3vwzN7Z
Prove You Wrong,Crossfade,We All Bleed,Full Volume,Playlist,USDPK1077203,3dv2Xe5NHtWiXhIq7HRRe0
Gangsters Paradise,Like A Storm,Awaken the Fire,Full Volume,Playlist,US4E41417310,6xPD22JavtFYbyHl2AMVsn
Devastate,Saint Asonia,Extrovert,Full Volume,Playlist,GBUM72205699,7vxqsIF0X2BrYKazuIWzoh
Soldier Side,System Of A Down,Hypnotize,Full Volume,Playlist,USSM10505341,1ez4uWPnJwYufNhYTLVsJr
Scarlet Cross,Black Veil Brides,The Phantom Tomorrow,Full Volume,Playlist,USYFZ2043501,098MjOfQMOjxqKkoewErxV
Hero,Skillet,Awake (Deluxe Edition),Full Volume,Playlist,USAT20901852,3l4Bi7uo88xgoaPdgWjJx2
Just A Little Bit,Adelitas Way,Adelitas Way,Full Volume,Playlist,USVI20900214,0QVFZAGDODfAKRUzgcloU3
Take the Bullets Away (feat. Lacey Sturm),We As Human,We As Human,Full Volume,Playlist,USAT21301296,1FgFXxPsmUmiJMoJNi8idR
Outcome,Dead by April,The Affliction,Full Volume,Playlist,QMFMG2371500,54Mdl7oXai0VZ3usuCxIPb
I'LL BE GONE,Linkin Park,LIVING THINGS,Full Volume,Playlist,USWB11200794,3cQGb2POE359G9WH81bF60
Blinded by the Lights,Lightscape,"For Present, for Past",Full Volume,Playlist,UKE5J1600003,547xCKSs28gTcxqtcSyKQE
"Sincerely, Anonymous",Ghosts of August,Ghosts of August,Full Volume,Playlist,US7PJ1160013,1cXy3GqqBNbNeQSNIpX8aZ
Electric Feel,MGMT,Oracular Spectacular,Full Volume,Playlist,USSM10702131,3FtYbEfBqAlGO46NUDQSAt
Your Heart,George Marios,Your Heart,Full Volume,Playlist,UK8J72500001,2K4oBsydzfXBur5fk9OzA4
Somewhere to be,George Marios,Somewhere to be,Full Volume,Playlist,UK8J72500004,5qhVOA2bVhQtzL1jdHVktd
The End of Heartache,Killswitch Engage,The End of Heartache (Special Edition),Full Volume,Playlist,NLA320420753,2nUy0ifVE7UwtOK4rugFsP
Scream,Thousand Foot Krutch,Welcome To The Masquerade (Fan Edition),Full Volume,Playlist,USTN10900522,5C1AHGUCdBvI08DDVwpMii
Rest My Chemistry,Interpol,Our Love To Admire,Full Volume,Playlist,USCA20703931,2O5UcpKolgLT8l8yAvEmID
The End Is Where We Begin,Thousand Foot Krutch,The End Is Where We Begin,Full Volume,Playlist,TCABF1202212,4XevN0IZXLR9f59QrSjOXo
Look In My Eyes,Rains,Stories,Full Volume,Playlist,US9WS1100251,5wzydMdyVrfReUhq91ZsHe
Moving On,Asking Alexandria,From Death To Destiny,Full Volume,Playlist,USYFZ1338610,44sLQYgTQgGD5vCaijG8s2
We Own the Night,Dance Gavin Dance,Instant Gratification,Full Volume,Playlist,USEK71527701,7xCcUcMcGsIYGKUVgBZUw5
Maze of Fools,Smash Into Pieces,Maze of Fools,Full Volume,Playlist,QMDA72433606,1fWUjjfJ23k1GNnQ57W8wb
Too Late For Sorry,Our Waking Hour,Seconds To Save Her,Full Volume,Playlist,TCAAY1176478,69OwbC8fwgEZxz9S7TNKdR
We Rise,Daybreak Embrace,We Rise,Full Volume,Playlist,ushm21656107,5UNP95d0n5SpD1YSd9q7Nf
Sanctuary,Daybreak Embrace,Tomorrow Awaits,Full Volume,Playlist,ushm91098012,4lmAXUj8pBWV9jDFPZLCvz
Suffocate,Daybreak Embrace,Tomorrow Awaits,Full Volume,Playlist,ushm91098010,3qXmiCeIl3Puo7rTcvhvzl
Heart of War,Message from Sylvia,Message from Sylvia,Full Volume,Playlist,TCACQ1690958,4OwBQwCpk26hJ8lYDZQeXy
