Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Hold On,Jet,Shine On (Deluxe Edition),Calm Waters,Playlist,AULI01607940,6fTX2poT39Ucz6A7Tsqyg9
Light Inside,Fireflight,Innova,Calm Waters,Playlist,QMF921450206,0RWjzAf2miTps2Ci4PCafU
Killing Me Softly With His Song,Roberta Flack,Killing Me Softly,Calm Waters,Playlist,USAT29901394,3gsCAGsWr6pUm1Vy7CPPob
Leave the City,Twenty One Pilots,Trench,Calm Waters,Playlist,USAT21810695,5HCXMBxZIVaVLXpyoqPM3g
The Man Who Can't Be Moved,The Script,The Script,Calm Waters,Playlist,GBARL0800144,4Musyaro0NM5Awx8b5c627
Breakeven,The Script,The Script,Calm Waters,Playlist,GBARL0800147,38xWaVFKaxZlMFvzNff2aW
Good to Be Alive,Skillet,Rise (Deluxe Edition),Calm Waters,Playlist,USAT21301423,4SWzLstnBnIqwI8BewA3T6
Neon Gravestones,Twenty One Pilots,Trench,Calm Waters,Playlist,USAT21810689,0sXvjZV7p4uvyPN4uQo3FH
I'm Just a Kid,Simple Plan,TikTok Songs You Can't Get Out of Your Head,Calm Waters,Playlist,USAT20111234,1MXOv0vt7RL9UGsdFXv4fZ
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,Black Panther The Album Music From And Inspired By,Calm Waters,Playlist,USUM71713947,3GCdLUSnKSMJhs4Tj6CV3s
Cut My Lip,Twenty One Pilots,Trench,Calm Waters,Playlist,USAT21810691,6gFtgkh8ShkrJn52Cbdhxy
Bend the Rules,Smash Into Pieces,Arcadia,Calm Waters,Playlist,QM6P42004537,3rVngIbMlLRe6BA8iUzxEN
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,Calm Waters,Playlist,USUG12102313,4qu63nuBpdn0qHUHuObEj1
Suit and Jacket,Judah & the Lion,Folk Hop n' Roll (Deluxe),Calm Waters,Playlist,QMGSG1700002,3ILLqwupo1Aa6PBNXxV4ey
