Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Blackout,Virtual Riot,There Goes Your Money,Everything Green,Playlist,FR2X41626457,0QSdRZkHrfbFbZIxFF1EIM
Sorry (feat. ISÁK) - Albert Vishi Remix,Alan Walker,Sorry (feat. ISÁK),Sentimental Zone,Playlist,NOG842101030,4cLTIPplUUv8nEqWWJs6GN
Xanandra,Mago de Oz,"Hechizos, pócimas y brujería",Sentimental Zone,Playlist,ES5151201912,3k5xCSWc2ZQHbo9Q4qCbuu
ALL NIGHT,Godlands,GODSP33D,Everything Green,Playlist,CA6D22200283,5GyON52MtTky82ToPoh0rE
Crystallize,Lindsey Stirling,Lindsey Stirling,Everything Green,Playlist,USTEY0900057,2qlo9lm8HSqy7T2dxiOZY6
De Música Ligera - Remasterizado 2007,Soda Stereo,Me Verás Volver (Hits & Más),Everything Green,Playlist,ARFSB0700930,0Ruvs5IxqkGqQVWCO2oRpw
