Track name,Artist name,Album,Spotify ID
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),7wCmS9TTVUcIhRalDYFgPy
The Evidence,Daybreak Embrace,Culmination,4YIALWYYFaIxx04rNszlBQ
Don't You Worry Child,City Sessions,Don't You Worry Child,3SmRuDNiBUSUqi3cfr11On
